"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"EN","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_6month",-0.099012615993209,0.267067410043294,-0.00378084236360032,0.137448270853868,0.71117528796899,NA
"GR","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_6month",0.293610078086164,0.371796064820457,-0.00129057553124401,0.623637668892143,0.430341707337292,NA
"SH","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_6month",-0.269850592484814,0.431769854493211,-0.00557078090721186,0.390608884597398,0.533285714533581,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_SPEI_12month",0.449135381570142,0.371195958324902,0.00211434900890484,1.4640235406635,0.227601396786932,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_SPEI_12month",0.209924756910498,0.238786029557018,-0.000573876092134995,0.772875408887294,0.379863477269792,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_SPEI_12month",-0.047094929216684,0.22957620131372,-0.00420062019844525,0.0420818249904022,0.837646902388081,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_SPEI_12month",0.612184411242033,0.301457095086367,0.0105852173190674,4.12395115908069,0.0431892048214793,"yes"
"SH","Cumulative_GCC_yearly","SPEI","Mean_SPEI_12month",0.113943563813086,0.318959515528988,-0.00799415438202611,0.127616982499286,0.721606460172965,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_12month",0.337150759087903,0.332525644829537,0.000127890272796027,1.02801155214738,0.311750138286537,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_12month",0.158393168557251,0.216045624682121,-0.00116928406438288,0.537504299357045,0.463903737108601,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_12month",-0.00557121586370219,0.212405642670629,-0.00438293428624137,0.000687967420930841,0.979097521453693,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_12month",0.528282891850537,0.273820219713238,0.00923656253966654,3.72222021888109,0.0546650802493292,NA
