"site","lat","lon","elev"
"nevcansnk3a",39.0099,-114.3095,3063
"nevcanspg1a",38.9253,-114.4082,1792
"nevcanspg2a",38.8921,-114.3521,2203
"nevcanspg3a",38.8898,-114.3314,2820
"nevcanspg4a",38.9061,-114.3089,3360
"ninemileprairie",40.86801886,-96.822080664,381
"nist",39.139,-77.2125,100
"niwot3",40.03286358,-105.54697017,3050
"niwot5",40.03286358,-105.54697017,2993
"northattleboroma",41.98369,-71.31056,60
"northinletsaltmarsh",33.3455,-79.1957,1
"oakville",47.899334,-97.316139,268
"oregonMP",44.4523,-121.5574,1253
"oregonYP",44.32384,-121.605993,977
"oregonYPbud",44.3238,-121.606,977
"othshardwood",44.934805,-68.6655,41
"othssoftwood",44.934527,-68.664888,41
"pace",37.9229,-78.2739,100
"parkschoolbuffalo",42.9637,-78.7834,205
"piedmontalpasture2",33.8875,-85.6935,238
"portal",31.9385,-109.0823,1330
"proctor",44.525,-72.866,403
"readingma",42.5304,-71.1272,100
"robinson",37.4671,-83.1576,483
"robinson2",37.4671,-83.1576,483
"rosemountcons",44.6946,-93.0578,283
"rosemountconv",44.691,-93.0576,283
"rosemountnprs",44.6781,-93.0723,274
"russellsage",32.456961,-91.974322,20
"sagehen",39.4315,-120.2398,1934
"sagehen2",39.4307,-120.2407,1937
"sagehen3",39.4311,-120.2405,1935
"sanford",42.726777,-84.464482,268
"santacruz1",36.9741,-122.0308,11
"santacruz2",36.9741,-122.0308,11
"santaluciapreserve1",36.5265,-121.8682,500
"santaluciapreserve2",36.5265,-121.8682,500
"segaarboretum10",35.16209,-111.73151,2170
"segaarboretum2",35.16209,-111.73151,2170
"segaarboretum3",35.16209,-111.73151,2170
"segaarboretum4",35.16214,-111.73153,2170
"segaarboretum6",35.16209,-111.73151,2170
"segaarboretum9",35.16222,-111.73158,2170
"segaarboretumforest",35.1613,-111.7359,2173
"segaarboretummeadow",35.1621,-111.7316,2157
"segablackpoint",35.6814,-111.4754,1566
"segabluechute",35.5876,-111.9716,1930
"segabluechute1",35.58759,-111.97115,1931
"segabluechute2",35.58759,-111.97115,1931
"segabluechute4",35.58759,-111.9716,1931
"segabluechute6",35.58759,-111.97115,1931
"segabluechute7",35.58759,-111.97115,1931
"segabluechute8",35.58759,-111.97115,1931
"segabradshaw",34.9109,-111.9285,1402
"segahartprairie",35.3536,-111.7324,2585
"segalcr",35.7231,-111.321,1275
"segalcr2",35.7069,-111.36,1495
"segalittlemountain",36.5865,-112.3634,2276
"segasoapcreek",36.751,-111.716,1233
"segawhitepockets",36.6081,-112.4082,2057
"sevilletagrass",34.360444,-106.700186,1600
"sevilletanewgrass",34.358,-106.6799,1603
"sevilletashrub",34.334956,-106.744469,1603
"sevMRME10L",34.3438,-106.7269,1604
"sevMRME11C",34.3438,-106.7268,1604
"sevMRME1S",34.3442,-106.7272,1604
"sevpjrm12",34.38615,-106.52621,1905
"sevpjrm13",34.38631,-106.52791,1914
"shalehillsczo",40.6658,-77.9041,310
"shenandoah",38.6167,-78.35,1037
"silverton",44.9986,-122.6948,347
"siwetland",38.0369,-121.7546,-5
"slatefloodplain",38.9094,-107.0282,2725
"snodgrass1",38.92619636,-106.97143762,3023
"snodgrass2",38.92619636,-106.97143762,3023
"snodgrass3",38.92839978,-106.97811962,3141
"snodgrass4",38.92839978,-106.97811962,3141
"snodgrass5",38.92744789,-106.97852093,3152
"snodgrass6",38.92744789,-106.97852093,3152
"snodgrass7",38.93142134,-106.98523878,3363
"snodgrass8",38.93142134,-106.98523878,3363
"southerngreatplains",36.6058,-97.4888,314
"springfieldma",42.135162,-72.585972,56
"spruceA0EMI",47.5049,-93.4541,413
"spruceA0EMT",47.5049,-93.4541,418
"spruceA0P07",47.50493,-93.45314,413
"spruceA0P07SH",47.50493,-93.45314,413
"spruceA0P21",47.50625,-93.45275,413
"spruceA0P21SH",47.50625,-93.45275,413
"spruceT0P06",47.5051,-93.4535,410
"spruceT0P06SH",47.5051,-93.4535,410
"spruceT0P19E",47.5065,-93.4535,410
"spruceT0P19ESH",47.5065,-93.4535,410
"spruceT2P11E",47.5053,-93.4527,410
"spruceT2P11ESH",47.5053,-93.4527,410
"spruceT2P20",47.5064,-93.4532,410
"spruceT2P20SH",47.5064,-93.4532,410
"spruceT4P04E",47.5052,-93.454,410
"spruceT4P04ESH",47.5052,-93.454,410
"spruceT4P13",47.5057,-93.453,410
"spruceT4P13SH",47.5057,-93.453,410
"spruceT6P08",47.5056,-93.4539,410
"spruceT6P08SH",47.5056,-93.4539,410
"spruceT6P16E",47.5061,-93.4532,410
"spruceT6P16ESH",47.5061,-93.4532,410
"spruceT9P10E",47.5054,-93.4532,410
"spruceT9P10ESH",47.5054,-93.4532,410
"spruceT9P17",47.506,-93.4527,410
"spruceT9P17SH",47.506,-93.4527,410
"srg",31.7894,-110.8276,1281
"srm",31.8214,-110.8661,1116
"statenrice1",38.1235,-121.549,-5
"stjones",39.088222,-75.43725,2
"sweetbriar",37.57341,-79.08482,242
"sweetbriarclearcut",37.5753,-79.0872,242
"sweetbriargrass",37.5605,-79.0884,240
"sylvania",46.242,-89.348,540
"templefieldstation1",40.1667,-75.1894,105
"tfforest",43.1086,-70.9505,23
"tidmarshplymouth",41.9157,-70.5754,9
"tonzi",38.43091667,-120.9658861,177
"townsenddemeadow",39.3917,-75.6281,11
"tsubiology",36.1671,-86.8295,164
"tsubiology2",36.1171,-86.8295,100
"tuckerprairie",38.9491,-91.9952,274
"twodafo",29.1658,-95.829,16
"tworfaa",31.4777,-96.8882,167
"tworfpr",31.4802,-96.8826,162
"tworfta",31.4693,-96.8864,173
"twosfpr",30.6176,-97.2938,157
"ucnrsanzaborrego",33.2401,-116.3886,214
"ufona",27.3836,-81.950856,25
"uiefmaize2",40.0628,-88.1961,224
"uiefmiscanthus2",40.0628,-88.1984,221
"uiefprairie2",40.0637,-88.1973,224
"uiefsorghum",40.0065,-88.2032,224
"uiefswitchgrass2",40.0637,-88.1973,224
"umichbiological",45.55984,-84.71382,230
"umichbiological2",45.5625,-84.6976,240
"unca",35.5951,-82.5515,650
"usgseros",43.7343,-96.6234,448
"usmpj",34.43845,-106.2543606,2126
"usof5",35.7297,-90.0406,70
"usof6",35.7333,-90.0403,70
"uwmfieldsta",43.38709,-88.0229,265
"vaira",38.41328056,-120.9506361,129
"vallesburnedconifer",35.8884,-106.5321,3043
"vallesmixedconifer",35.9192,-106.6142,2752
"vallesponderosapine",35.864,-106.5964,2501
"waahila",21.3017,-157.8152,55
"warrenwilson",35.6069,-82.4421,2198
"willamettepoplar",44.1368,-123.1823,112
"willowcreek",45.805986,-90.07912,521
"windriver",45.8212833,-121.9520833,371
"windriverunderstory",45.8212833,-121.9520833,371
"wolfesneckfarm",43.8305,-70.0715,16
"worcester",42.2697,-71.8428,185
